"Bodega"	"Codigo"	"Cod. Alterno"	"Descripcion"	"Exist."	"Cant."	"Diferencia"	"Nota"
"BFA01"	"4107004"	""	"BROWNIE MIX"	"1.000"	"3.000"	"2.000"	""
"BFA01"	"4104082"	""	"YOGURT MIX FRUTILLA 200"	"0.000"	"3.000"	"3.000"	""
"BFA01"	"4101001"	""	"AJI HECHO EN CASA"	"0.000"	"1.000"	"1.000"	""
"BFA01"	"4101004"	""	"ALIÑO CASERO"	"3.000"	"2.000"	"-1.000"	""
"BFA01"	"4104081"	""	"YOGURT MIX  DURAZNO 200"	"0.000"	"3.000"	"3.000"	""
"BFA01"	"4104012"	""	"YOGURT MONI   1 LITRO"	"4.000"	"4.000"	"0.000"	""
"BFA01"	"4105723"	""	"QUESO KIOSCO 250 GR. FRESCO"	"2.000"	"2.000"	"0.000"	""
"BFA01"	"4104025"	""	"QUESO SANDUCHE LONJAS 300G. KIOSKO"	"2.000"	"2.000"	"0.000"	""
"BFA01"	"4102008"	""	"TARRINA DE FRITADITAS"	"4.000"	"4.000"	"0.000"	""
"BFA01"	"4101044"	""	"MANTECA DE CHANCHO (TARRINA)"	"2.000"	"2.000"	"0.000"	""
"BFA01"	"4104148"	""	"NUTRI CREMA"	"1.000"	"1.000"	"0.000"	""
"BFA01"	"4104106"	""	"QUESO PARMESANO  ALPINA  40G."	"2.000"	"1.000"	"-1.000"	""
"BFA01"	"4104077"	""	"QUESO CREMA TONY"	"2.000"	"4.000"	"2.000"	""
"BFA01"	"4104004"	""	"MANJAR PEQUEÑO"	"9.000"	"9.000"	"0.000"	""
"BFA01"	"4104003"	""	"MANJAR GRANDE"	"3.000"	"3.000"	"0.000"	""
"BFA01"	"4104005"	""	"MANJAR MEDIANO"	"5.000"	"5.000"	"0.000"	""
"BFA01"	"4104137"	""	"YOGURT REGENERIS EL KIOSKO  DURAZNO 180"	"7.000"	"7.000"	"0.000"	""
"BFA01"	"4104136"	""	"YOGURT REGENERIS EL KIOSKO FRUTI 180 GR"	"3.000"	"3.000"	"0.000"	""
"BFA01"	"4104139"	""	"YOGURT REGENERIS EL KIOSKO FRUTILLA 1000 G"	"3.000"	"3.000"	"0.000"	""
"BFA01"	"4106025"	""	"HUEVOS"	"270.000"	"270.000"	"0.000"	""
"BFA01"	"4004550"	""	"JAMON SANDUCHERO 200GR"	"7.000"	"7.000"	"0.000"	""
"BFA01"	"4101023"	""	"SALSA DE TOMATE LOS ANDES PEQUEÑA"	"5.000"	"5.000"	"0.000"	""
"BFA01"	"4003857"	""	"CHORIZO PAISA BOTON EMP.300GR"	"2.000"	"2.000"	"0.000"	""
"BFA01"	"4106009"	""	"MERMELADA VIEJA FABRICA DIETA/MELOCOTON"	"1.000"	"1.000"	"0.000"	""
"BFA01"	"4101080"	""	"NUECES DIAMOND  400GR."	"2.000"	"2.000"	"0.000"	""
"BFA01"	"4103001"	""	"CASTELL REAL BLANCO"	"5.000"	"5.000"	"0.000"	""
"BFA01"	"4106002"	""	"DURAZNOS MITADES 820 G. DOS CABALLOS"	"12.000"	"17.000"	"5.000"	""
