"Bodega"	"Codigo"	"Cod. Alterno"	"Descripcion"	"Exist."	"Cant."	"Diferencia"	"Nota"
"BPI02"	"4203076"	""	"PAN ROSITA (PARA HAWAIANO)"	"-7.000"	"1.000"	"8.000"	""
"BPI02"	"4203002"	""	"Pan Muffins"	"-3.000"	"2.000"	"5.000"	""
"BPI02"	"4203114"	""	"PAN PITA"	"0.000"	"1.000"	"1.000"	""
"BPI02"	"4203057"	""	"Pan de Hamburguesa"	"5.535"	"22.000"	"16.465"	""
"BPI02"	"4203001"	""	"PAN GRANDE 20 CENTIMIETROS"	"135.000"	"60.000"	"-75.000"	""
"BPI02"	"4203003"	""	"PAN PEQUEÑO 15 CM HOT DOG"	"105.560"	"68.000"	"-37.560"	""
"BPI02"	"4203045"	""	"Jamon de Pierna rebanado"	"492.909"	"99.000"	"-393.909"	""
"BPI02"	"4203059"	""	"SALSA VINAGRETA ZESTY"	"-0.720"	"0.555"	"1.275"	""
"BPI02"	"4203016"	""	"Salsa Agridulce"	"-0.050"	"0.685"	"0.735"	""
"BPI02"	"4203027"	""	"Piña en Rodajas"	"-0.210"	"400.000"	"400.210"	""
"BPI02"	"4203028"	""	"Brotes de Alfalfa"	"-0.006"	"0.040"	"0.046"	""
"BPI02"	"4203019"	""	"Champiñones Preparados"	"-0.408"	"0.155"	"0.563"	""
"BPI02"	"4203099"	""	"LAUREL"	"0.000"	"1.000"	"1.000"	""
"BPI02"	"4203113"	""	"PAPAS"	"-47.767"	"30.000"	"77.767"	""
"BPI02"	"4203023"	""	"Cebolla Perla Picada (Para Sánduches)"	"-7.937"	"3.000"	"10.937"	""
"BPI02"	"4203017"	""	"Salsa Light"	"-0.040"	"0.765"	"0.805"	""
"BPI02"	"4203097"	""	"MOSTAZA GALON SANDUCHES"	"-1.502"	"1.000"	"2.502"	""
"BPI01"	"4101027"	""	"SALSA GALON ANDES"	"1.800"	"2.000"	"0.200"	""
"BPI01"	"4007100"	""	"SALCHICHA  POLLO GRUESA EMP. 2.27 KG"	"4.375"	"2.285"	"-2.090"	""
"BPI01"	"4104068"	""	"YOGURT BEBIBLE TONY FRUT. 200"	"1.000"	"1.000"	"0.000"	""
"BPI01"	"4104129"	""	"YOGURT VID-0200-CIPA"	"1.000"	"5.000"	"4.000"	""
"BPI01"	"4002005"	""	"SALCH. FRANK. DELG. 2.27KG"	"-9.124"	"2.285"	"11.409"	""
"BPI01"	"4002251"	""	"SALCH.  HOTDOG DELGADA"	"5.800"	"5.170"	"-0.630"	""
"BPI01"	"4104003"	""	"MANJAR GRANDE"	"2.000"	"2.000"	"0.000"	""
"BPI01"	"4002202"	""	"SALCH.  HOTDOG GRUESA"	"60.205"	"4.585"	"-55.620"	""
"BPI02"	"4204043"	""	"AGUA OVIT LIMA LIMON 500ML"	"6.000"	"5.000"	"-1.000"	""
"BPI01"	"4002103"	""	"SALCH. FRANK.  GRUESA 2.27 KG"	"-28.250"	"14.110"	"42.360"	""
"BPI02"	"4203116"	""	"AGUA PURA BOTELLON"	"1.000"	"1.000"	"0.000"	""
