"Bodega"	"Codigo"	"Cod. Alterno"	"Descripcion"	"Exist."	"Cant."	"Diferencia"	"Nota"
"BSO2"	"4203099"	""	"LAUREL"	"0.000"	"1.000"	"1.000"	""
"BSO2"	"4203100"	""	"Oregano"	"0.000"	"0.650"	"0.650"	""
"BSO2"	"4203105"	""	"CANELA MOLIDA"	"0.000"	"0.330"	"0.330"	""
"BSO2"	"4203114"	""	"PAN PITA"	"0.000"	"8.000"	"8.000"	""
"BSO2"	"4204038"	""	"CALDO MAGGI COST"	"0.000"	"8.000"	"8.000"	""
"BSO1"	"4003321"	""	"RECORTES"	"-75.990"	"36.265"	"112.255"	""
"BSO1"	"4101001"	""	"AJI HECHO EN CASA"	"61.000"	"55.000"	"-6.000"	""
"BSO2"	"4203001"	""	"PAN GRANDE 20 CENTIMIETROS"	"-226.650"	"48.000"	"274.650"	""
"BSO2"	"4203003"	""	"PAN PEQUEÑO 15 CM HOT DOG"	"2,632.780"	"956.000"	"-1,676.780"	""
"BSO2"	"4204048"	""	"PULPA DE FRUTILLA"	"-28.000"	"26.000"	"54.000"	""
"BSO2"	"4204002"	""	"COLA  1/2 LITRO DESECHABLE"	"34.000"	"4.000"	"-30.000"	""
"BSO2"	"4204008"	""	"AGUA CON GAS"	"48.000"	"12.000"	"-36.000"	""
"BSO2"	"4204009"	""	"AGUA SIN GAS"	"13.000"	"14.000"	"1.000"	""
"BSO2"	"4204033"	""	"COLA MINI"	"478.300"	"40.000"	"-438.300"	""
"BSO2"	"4204040"	""	"JUGO DEL VALLE"	"8.000"	"19.000"	"11.000"	""
"BSO2"	"4203096"	""	"HAMBURGUESA PARA SANDUCHES"	"108.000"	"126.000"	"18.000"	""
"BSO2"	"4203021"	""	"PAN IMPERIO (GUSANITO)"	"420.000"	"120.000"	"-300.000"	""
"BSO2"	"4203002"	""	"Pan Muffins"	"12.000"	"4.000"	"-8.000"	""
"BSO2"	"4203031"	""	"NESCAFE CAPUCCINO 4X1.3KG XU"	"26.000"	"22.000"	"-4.000"	""
"BSO2"	"4203033"	""	"NESCAFE VAINILLA 4X1.3KG XU"	"24.000"	"25.000"	"1.000"	""
"BSO2"	"4203113"	""	"PAPAS"	"729.841"	"248.000"	"-481.841"	""
"BSO2"	"4203007"	""	"SALAMI SANDUCHES/CUBANOS"	"148.626"	"1.110"	"-147.516"	""
"BSO2"	"4203008"	""	"MINI PERNIL SANDUCHES"	"100.960"	"0.555"	"-100.405"	""
"BSO2"	"4203009"	""	"FRANKFURTH HOT DOG GRUESA"	"0.000"	"19.000"	"19.000"	""
"BSO2"	"4203012"	""	"Chorrizillo picado"	"0.000"	"6.035"	"6.035"	""
