"Bodega"	"Codigo"	"Cod. Alterno"	"Descripcion"	"Exist."	"Cant."	"Diferencia"	"Nota"
"BSS2"	"4203001"	""	"PAN GRANDE 20 CENTIMIETROS"	"73.990"	"8.000"	"-65.990"	""
"BSS1"	"4200010"	""	"PAN  - IMPER."	"0.000"	"10.000"	"10.000"	""
"BSS2"	"4204033"	""	"COLA MINI"	"-235.010"	"154.000"	"389.010"	""
"BSS2"	"4203003"	""	"PAN PEQUEÑO 15 CM HOT DOG"	"134.000"	"72.000"	"-62.000"	""
"BSS1"	"4006202"	""	"HAMBURGUESA DE CERDO"	"2.000"	"2.000"	"0.000"	""
"BSS1"	"4006201"	""	"HAMBURGUESA DE RES"	"4.000"	"4.000"	"0.000"	""
"BSS1"	"4006203"	""	"HAMBURGUESA DE POLLO"	"3.000"	"3.000"	"0.000"	""
"BSS1"	"4009116"	""	"GUATA"	"5.830"	"1.885"	"-3.945"	""
"BSS1"	"4009801"	""	"RES FILETEADA CON ADOBO GAUCHO"	"3.220"	"2.375"	"-0.845"	""
"BSS1"	"4009127"	""	"TIBON"	"0.830"	"0.800"	"-0.030"	""
"BSS1"	"4009112"	""	"LOMO BIFE"	"-1.685"	"1.100"	"2.785"	""
"BSS1"	"4009106"	""	"RABO DE RES"	"-0.135"	"0.525"	"0.660"	""
"BSS1"	"4009126"	""	"CARNE MOLIDA ESPECIAL"	"3.805"	"5.445"	"1.640"	""
"BSS1"	"4009803"	""	"PECHUGAS A LA NARANJA EN HIERBAS"	"10.875"	"2.415"	"-8.460"	""
"BSS1"	"4009123"	""	"CARNE PARA SECO CORRIENTE"	"0.500"	"0.515"	"0.015"	""
"BSS1"	"4009115"	""	"CARNE FILETEADA DE RES"	"33.130"	"33.905"	"0.775"	""
"BSS1"	"4009809"	""	"FILETES DE PECHUGAS ADOBADAS AL AJILLO"	"18.760"	"2.195"	"-16.565"	""
"BSS1"	"4009210"	""	"CARNE DE CHANCHO FILETEADA"	"102.375"	"92.330"	"-10.045"	""
"BSS1"	"4009207"	""	"COSTILLA DE CHANCHO"	"44.855"	"25.440"	"-19.415"	""
"BSS1"	"4009203"	""	"CHULETA DE CERDO"	"26.175"	"10.835"	"-15.340"	""
"BSS1"	"4008300"	""	"SALAMI"	"8.075"	"6.415"	"-1.660"	""
"BSS1"	"4004200"	""	"JAMON DE PIERNA PEQUEÑO"	"42.520"	"42.170"	"-0.350"	""
"BSS1"	"4001201"	""	"MORTADELA BOLOGÑA"	"32.285"	"29.570"	"-2.715"	""
"BSS1"	"4003321"	""	"RECORTES"	"18.040"	"29.290"	"11.250"	""
"BSS1"	"4007001"	""	"CHORIZO DE POLLO"	"-0.685"	"1.010"	"1.695"	""
"BSS1"	"4107002"	""	"BROWNIE CHISPAS DE CHOCOLATE"	"6.000"	"6.000"	"0.000"	""
"BSS1"	"4107004"	""	"BROWNIE MIX"	"12.000"	"11.000"	"-1.000"	""
"BSS1"	"4107001"	""	"BROWNIE CLASICO"	"8.000"	"8.000"	"0.000"	""
"BSS1"	"4107003"	""	"BROWNIE NUEZ"	"11.000"	"10.000"	"-1.000"	""
"BSS1"	"4009610"	""	"UÑAS DE CANGREJO"	"4.000"	"4.000"	"0.000"	""
"BSS1"	"4009609"	""	"PULPA DE CANGREJO"	"6.000"	"6.000"	"0.000"	""
"BSS1"	"4004252"	""	"JAMON DE PIERNA 450G.  EMPAQUE"	"3.000"	"3.000"	"0.000"	""
"BSS1"	"4003857"	""	"CHORIZO PAISA BOTON EMP.300GR"	"1.000"	"1.000"	"0.000"	""
"BSS1"	"4008100"	""	"SALCHI. CERVECERO"	"12.000"	"11.000"	"-1.000"	""
"BSS1"	"4001205"	""	"MORTADELA TACO BOLOGÑA"	"8.000"	"8.000"	"0.000"	""
"BSS1"	"4004401"	""	"CREMA DE JAMON"	"2.000"	"2.000"	"0.000"	""
"BSS1"	"4009410"	""	"ALAS"	"8.135"	"4.895"	"-3.240"	""
