"Bodega"	"Codigo"	"Cod. Alterno"	"Descripcion"	"Exist."	"Cant."	"Diferencia"	"Nota"
"BSO1"	"4001352"	""	"MORTADELA EXTRA EMP. 450 GR"	"20.000"	"20.000"	"0.000"	""
"BSO1"	"4001254"	""	"MORTADELA BOLOGÑA EMP.200GR"	"20.000"	"20.000"	"0.000"	""
"BSO1"	"4001201"	""	"MORTADELA BOLOGÑA"	"19.750"	"1.000"	"-18.750"	""
"BSO1"	"4009121"	""	"CHULETA DE RES"	"0.030"	"0.000"	"-0.030"	"Item no contado fisicamente"
"BSO1"	"4009214"	""	"CARNE DE CERDO ADOBADA"	"0.030"	"0.000"	"-0.030"	"Item no contado fisicamente"
"BSO1"	"4009108"	""	"RIÑONES"	"0.910"	"0.000"	"-0.910"	"Item no contado fisicamente"
"BSO1"	"4007200"	""	"SALCHICHON DE POLLO"	"1.000"	"0.000"	"-1.000"	"Item no contado fisicamente"
"BSO1"	"4008102"	""	"SALCH.CERVECERO 340GR"	"1.000"	"0.000"	"-1.000"	"Item no contado fisicamente"
"BSO1"	"4004202"	""	"MINI JAMON"	"1.000"	"0.000"	"-1.000"	"Item no contado fisicamente"
"BSO1"	"4103003"	""	"CONDE DE LA CRUZ BLANCO"	"1.000"	"0.000"	"-1.000"	"Item no contado fisicamente"
"BSO1"	"4103018"	""	"VINO TRAPICHE VARIETAL CAB. SAUV.TINTO"	"1.000"	"0.000"	"-1.000"	"Item no contado fisicamente"
"BSO1"	"4104019"	""	"QUESO MOZZARELLA 200G. KIOSKO"	"1.000"	"0.000"	"-1.000"	"Item no contado fisicamente"
"BSO1"	"4104075"	""	"YOGURT LIGHT MORA 1000ml."	"1.000"	"0.000"	"-1.000"	"Item no contado fisicamente"
"BSO1"	"4104105"	""	"YOGURMET FRUTILLA 180"	"1.000"	"0.000"	"-1.000"	"Item no contado fisicamente"
"BSO1"	"4104144"	""	"QUESO PROVOLENE NATURAL 260 GR."	"1.000"	"0.000"	"-1.000"	"Item no contado fisicamente"
"BSO1"	"4104156"	""	"QUESO REY FRESCO CDR 500GR"	"1.000"	"0.000"	"-1.000"	"Item no contado fisicamente"
"BSO1"	"4104162"	""	"YOGURT REY PST DURAZNO 900C"	"1.000"	"0.000"	"-1.000"	"Item no contado fisicamente"
"BSO1"	"4105004"	""	"PIZZA X 4 UNIDADES"	"1.000"	"0.000"	"-1.000"	"Item no contado fisicamente"
"BSO1"	"4105015"	""	"RAVIOLES DE ESPINACA 500 GR"	"1.000"	"0.000"	"-1.000"	"Item no contado fisicamente"
"BSO1"	"4007503"	""	"GALANTINA DE PAVO"	"1.150"	"0.000"	"-1.150"	"Item no contado fisicamente"
"BSO1"	"4009817"	""	"CARNE DE RES APANADA"	"1.800"	"0.000"	"-1.800"	"Item no contado fisicamente"
"BSO1"	"4009127"	""	"TIBON"	"1.835"	"0.000"	"-1.835"	"Item no contado fisicamente"
"BSO1"	"4103012"	""	"V. CONCHA Y TORO CAB.SUAV.RES."	"2.000"	"0.000"	"-2.000"	"Item no contado fisicamente"
"BSO1"	"4104159"	""	"YOGURT REY PST FRUTILLA 150GR."	"2.000"	"0.000"	"-2.000"	"Item no contado fisicamente"
"BSO1"	"4104106"	""	"QUESO PARMESANO  ALPINA  40G."	"2.000"	"0.000"	"-2.000"	"Item no contado fisicamente"
"BSO1"	"4104140"	""	"QUESO PROVOLONE AHUMADO  260 GR"	"2.000"	"0.000"	"-2.000"	"Item no contado fisicamente"
"BSO1"	"4104141"	""	"QUESO GOUDA     350 GR"	"2.000"	"0.000"	"-2.000"	"Item no contado fisicamente"
"BSO1"	"4104074"	""	"YOGURT LIGHT FRUTI. 1000ml."	"2.000"	"0.000"	"-2.000"	"Item no contado fisicamente"
"BSO1"	"4104103"	""	"YOGURTMET DURAZNO 180"	"2.000"	"0.000"	"-2.000"	"Item no contado fisicamente"
"BSO1"	"4104024"	""	"QUESO JAVERIANO LONJAS 300G. KIOSKO"	"2.000"	"0.000"	"-2.000"	"Item no contado fisicamente"
"BSO1"	"4104015"	""	"YOGURT MONI GALON"	"2.000"	"0.000"	"-2.000"	"Item no contado fisicamente"
"BSO1"	"4104006"	""	"MOZZARELLA RECTANGULAR LOS PINOS"	"2.000"	"0.000"	"-2.000"	"Item no contado fisicamente"
"BSO1"	"4009112"	""	"LOMO BIFE"	"2.710"	"0.000"	"-2.710"	"Item no contado fisicamente"
"BSO1"	"4005602"	""	"PERNIL CASERO NAVIDEÑO"	"2.750"	"0.000"	"-2.750"	"Item no contado fisicamente"
"BSO1"	"4103004"	""	"CONDE DE LA CRUZ TINTO"	"3.000"	"0.000"	"-3.000"	"Item no contado fisicamente"
"BSO1"	"4104003"	""	"MANJAR GRANDE"	"3.000"	"0.000"	"-3.000"	"Item no contado fisicamente"
"BSO1"	"4104025"	""	"QUESO SANDUCHE LONJAS 300G. KIOSKO"	"3.000"	"0.000"	"-3.000"	"Item no contado fisicamente"
"BSO1"	"4104073"	""	"YOGURT LIGHT DURAZ.1000ml."	"3.000"	"0.000"	"-3.000"	"Item no contado fisicamente"
"BSO1"	"4104163"	""	"YOGURT REY PST FRUTILLA 900C"	"3.000"	"0.000"	"-3.000"	"Item no contado fisicamente"
"BSO1"	"4106011"	""	"MERMELADA VIEJA FABRICA FRAMBUESA"	"3.000"	"0.000"	"-3.000"	"Item no contado fisicamente"
"BSO1"	"4003500"	""	"SALCHICHA DE FREIR"	"3.580"	"0.000"	"-3.580"	"Item no contado fisicamente"
"BSO1"	"4009509"	""	"PECHUGA DE PAVO EN FUNDA"	"3.825"	"0.000"	"-3.825"	"Item no contado fisicamente"
"BSO1"	"4009625"	""	"CORVINILLA CUBOS"	"4.000"	"0.000"	"-4.000"	"Item no contado fisicamente"
"BSO1"	"4101012"	""	"MOSTAZA GALON"	"4.000"	"0.000"	"-4.000"	"Item no contado fisicamente"
"BSO1"	"4101032"	""	"SALSA VERDE"	"4.000"	"0.000"	"-4.000"	"Item no contado fisicamente"
"BSO1"	"4104158"	""	"QUESO CREMA REY TRN 225GR."	"4.000"	"0.000"	"-4.000"	"Item no contado fisicamente"
"BSO1"	"4104004"	""	"MANJAR PEQUEÑO"	"4.000"	"0.000"	"-4.000"	"Item no contado fisicamente"
"BSO1"	"4104005"	""	"MANJAR MEDIANO"	"4.000"	"0.000"	"-4.000"	"Item no contado fisicamente"
"BSO1"	"4009806"	""	"PECHUGAS DE POLLO APANADAS"	"4.300"	"0.000"	"-4.300"	"Item no contado fisicamente"
"BSO1"	"4005601"	""	"LECHON"	"4.460"	"0.000"	"-4.460"	"Item no contado fisicamente"
"BSO1"	"4009103"	""	"CARNE MOLIDA EC."	"4.490"	"0.000"	"-4.490"	"Item no contado fisicamente"
"BSO1"	"4009213"	""	"MORCILLA"	"4.985"	"0.000"	"-4.985"	"Item no contado fisicamente"
"BSO1"	"4007501"	""	"MINI JAMON POLLO"	"5.000"	"0.000"	"-5.000"	"Item no contado fisicamente"
"BSO1"	"4009610"	""	"UÑAS DE CANGREJO"	"5.000"	"0.000"	"-5.000"	"Item no contado fisicamente"
"BSO1"	"4101030"	""	"SALSA PARRIS MEDIANA"	"5.000"	"0.000"	"-5.000"	"Item no contado fisicamente"
"BSO1"	"4101048"	""	"ACEITUNA FRAGATA VERDE DESHUESADA"	"5.000"	"0.000"	"-5.000"	"Item no contado fisicamente"
"BSO1"	"4101084"	""	"PASAS SIN SEMILLA DEL VERANO 400 GR"	"5.000"	"0.000"	"-5.000"	"Item no contado fisicamente"
"BSO1"	"4103007"	""	"V. UNDURRAGA VARIETAL CAB. SAUVG."	"5.000"	"0.000"	"-5.000"	"Item no contado fisicamente"
"BSO1"	"4103017"	""	"VINO TRAPICHE ASTICA CABER. SAUVIGNON X 6"	"5.000"	"0.000"	"-5.000"	"Item no contado fisicamente"
"BSO1"	"4104045"	""	"QUESO MOZZARELLA 350G KIOSKO"	"5.000"	"0.000"	"-5.000"	"Item no contado fisicamente"
"BSO1"	"4104076"	""	"YOGURT LIGHT VAINIL. 1000ml."	"5.000"	"0.000"	"-5.000"	"Item no contado fisicamente"
"BSO1"	"4105014"	""	"RAVIOLES DE ESPINACA  200 GR"	"5.000"	"0.000"	"-5.000"	"Item no contado fisicamente"
"BSO1"	"4104161"	""	"YOGURT REY PST PRB DURAZNO 150GR."	"5.000"	"0.000"	"-5.000"	"Item no contado fisicamente"
